rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,time_stamp,bumper,wheel_drop,cliff,left_encoder,right_encoder,left_pwm,right_pwm,buttons,charger,battery,bottom,current,over_current,digital_input,analog_input
1608810897575505280,,52276,,1608810897,593307773,'',18772,0,0,0,965,63077,0,0,0,0,158,"[1602, 1758, 1491]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897575527860,,52277,,1608810897,609475271,'',18792,0,0,0,965,63077,0,0,0,0,159,"[1589, 1755, 1493]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897609264671,,52278,,1608810897,630591347,'',18812,0,0,0,965,63077,0,0,0,0,159,"[1589, 1761, 1493]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897654754476,,52279,,1608810897,650449617,'',18832,0,0,0,965,63077,0,0,0,0,159,"[1611, 1761, 1497]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897654774692,,52280,,1608810897,673581337,'',18852,0,0,0,965,63077,0,0,0,0,158,"[1611, 1756, 1497]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897686045597,,52281,,1608810897,690486814,'',18872,0,0,0,965,63077,0,0,0,0,158,"[1582, 1760, 1494]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897686052151,,52282,,1608810897,710692901,'',18892,0,0,0,965,63077,0,0,0,0,158,"[1600, 1760, 1495]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897706725529,,52283,,1608810897,731467001,'',18912,0,0,0,965,63077,0,0,0,0,158,"[1600, 1760, 1495]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897706735561,,52284,,1608810897,751233571,'',18932,0,0,0,965,63077,0,0,0,0,158,"[1600, 1763, 1495]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897730225329,,52285,,1608810897,771743084,'',18952,0,0,0,965,63077,0,0,0,0,158,"[1588, 1763, 1492]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897747845421,,52286,,1608810897,790344716,'',18972,0,0,0,965,63077,0,0,0,0,158,"[1583, 1760, 1493]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897768063838,,52287,,1608810897,810220216,'',18992,0,0,0,965,63077,0,0,0,0,158,"[1603, 1760, 1494]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897789963141,,52288,,1608810897,831493408,'',19012,0,0,0,965,63077,0,0,0,0,158,"[1603, 1759, 1494]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897804818707,,52289,,1608810897,850449574,'',19032,0,0,0,965,63077,0,0,0,0,158,"[1597, 1759, 1494]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897830753726,,52290,,1608810897,870316897,'',19052,0,0,0,965,63077,0,0,0,0,158,"[1618, 1759, 1491]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897852640457,,52291,,1608810897,890372876,'',19072,0,0,0,965,63077,0,0,0,0,158,"[1618, 1755, 1491]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897869175509,,52292,,1608810897,910371616,'',19092,0,0,0,965,63077,0,0,0,0,158,"[1595, 1761, 1493]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897898327502,,52293,,1608810897,931660286,'',19112,0,0,0,965,63077,0,0,0,0,158,"[1580, 1761, 1493]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897929473099,,52294,,1608810897,950306892,'',19132,0,0,0,965,63077,0,0,0,0,158,"[1600, 1761, 1493]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897947948777,,52295,,1608810897,970377181,'',19152,0,0,0,965,63077,0,0,0,0,158,"[1600, 1760, 1490]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897947985030,,52296,,1608810897,990384974,'',19172,0,0,0,965,63077,0,0,0,0,158,"[1600, 1760, 1490]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897971314617,,52297,,1608810898,10365977,'',19192,0,0,0,965,63077,0,0,0,0,158,"[1609, 1753, 1493]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897997213636,,52298,,1608810898,31598221,'',19212,0,0,0,965,63077,0,0,0,0,158,"[1609, 1760, 1493]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898021375317,,52299,,1608810898,50424367,'',19232,0,0,0,965,63077,0,0,0,0,158,"[1606, 1760, 1492]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898068900593,,52300,,1608810898,70540028,'',19252,0,0,0,965,63077,0,0,0,0,158,"[1582, 1760, 1492]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898091281186,,52301,,1608810898,90487198,'',19272,0,0,0,965,63077,0,0,0,0,158,"[1582, 1760, 1492]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898091297989,,52302,,1608810898,110535696,'',19292,0,0,0,965,63077,0,0,0,0,158,"[1609, 1760, 1491]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898091406428,,52303,,1608810898,135509811,'',19312,0,0,0,965,63077,0,0,0,0,158,"[1616, 1761, 1496]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898121843260,,52304,,1608810898,151433675,'',19332,0,0,0,965,63077,0,0,0,0,158,"[1616, 1761, 1496]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898158620325,,52305,,1608810898,171486553,'',19352,0,0,0,965,63077,0,0,0,0,158,"[1602, 1755, 1492]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898158651869,,52306,,1608810898,194107947,'',19372,0,0,0,965,63077,0,0,0,0,158,"[1602, 1760, 1492]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898179700456,,52307,,1608810898,210614954,'',19392,0,0,0,965,63077,0,0,0,0,158,"[1596, 1760, 1469]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898211495862,,52308,,1608810898,230975902,'',19412,0,0,0,965,63077,0,0,0,0,158,"[1580, 1759, 1495]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
