rosbagTimestamp,linear,x,y,z,angular,x,y,z
1608810900710761671,,0.199967480045,0.0,0.0,,0.0,0.0,-0.0206071058304
1608810900971436326,,0.199962919678,0.0,0.0,,0.0,0.0,-0.0220055061751
1608810901222228156,,0.199955935819,0.0,0.0,,0.0,0.0,-0.023987941585
1608810901506051040,,0.199964246406,0.0,0.0,,0.0,0.0,-0.0216109243915
1608810901762455195,,0.199975217609,0.0,0.0,,0.0,0.0,-0.0179886740066
1608810902029789129,,0.199978157944,0.0,0.0,,0.0,0.0,-0.016890552199
1608810902282317947,,0.199976389035,0.0,0.0,,0.0,0.0,-0.0175608539279
1608810902540017942,,0.199984685174,0.0,0.0,,0.0,0.0,-0.0141395254352
1608810902834975074,,0.199987288903,0.0,0.0,,0.0,0.0,-0.0128834049628
1608810903127656546,,0.199998570502,0.0,0.0,,0.0,0.0,-0.00432949499221
1608810903366267078,,0.199990520685,0.0,0.0,,0.0,0.0,-0.011128296378
1608810903625110088,,0.199996751851,0.0,0.0,,0.0,0.0,-0.00651773202044
1608810903877400836,,0.199997115571,0.0,0.0,,0.0,0.0,-0.00613247991201
1608810904180597294,,0.199996410093,0.0,0.0,,0.0,0.0,0.00685272763514
1608810904442971422,,0.199949824288,0.0,0.0,,0.0,0.0,-0.0255964603143
1608810904699946797,,0.199997026436,0.0,0.0,,0.0,0.0,-0.00623771279973
1608810904954557408,,0.199996409437,0.0,0.0,,0.0,0.0,-0.00684978948897
1608810905203147061,,0.177162630548,0.0,0.0,,0.0,0.0,-0.0937135925917
1608810905455349244,,0.162257121431,0.0,0.0,,0.0,0.0,-0.171973052047
1608810905702571391,,0.144350499213,0.0,0.0,,0.0,0.0,-0.303859697765
1608810905972488871,,0.138697654096,0.0,0.0,,0.0,0.0,-0.426351865346
1608810906246208189,,0.100366534277,0.0,0.0,,0.0,0.0,-0.436128339783
1608810906491150073,,0.0915599018332,0.0,0.0,,0.0,0.0,-0.449696986194
1608810906748063452,,0.0980037904294,0.0,0.0,,0.0,0.0,-0.434719556348
1608810907003716377,,0.10430185108,0.0,0.0,,0.0,0.0,-0.409819929498
1608810907272928048,,0.116865199762,0.0,0.0,,0.0,0.0,-0.314530609902
1608810907535564748,,0.125065779764,0.0,0.0,,0.0,0.0,-0.0278365287408
1608810907797680507,,0.124948947061,0.0,0.0,,0.0,0.0,0.433649023518
1608810908041543386,,0.133341699723,0.0,0.0,,0.0,0.0,0.427991259646
1608810908292778576,,0.141988534061,0.0,0.0,,0.0,0.0,0.492723211024
1608810908587860921,,0.157817822881,0.0,0.0,,0.0,0.0,0.502592816178
1608810908871018524,,0.162780666243,0.0,0.0,,0.0,0.0,0.386440192589
1608810909143256752,,0.163102201064,0.0,0.0,,0.0,0.0,0.221385232337
1608810909413038624,,0.174792181682,0.0,0.0,,0.0,0.0,0.188313560987
1608810909710792373,,0.178017020814,0.0,0.0,,0.0,0.0,0.230540124325
1608810909964071772,,0.180795087789,0.0,0.0,,0.0,0.0,0.169444989625
1608810910234599588,,0.189742740989,0.0,0.0,,0.0,0.0,0.0427881041215
1608810910512655993,,0.179856884329,0.0,0.0,,0.0,0.0,-0.0403648109443
1608810910818650074,,0.1834227059,0.0,0.0,,0.0,0.0,-0.109274313689
1608810911078185748,,0.158270421143,0.0,0.0,,0.0,0.0,-0.184828192194
1608810911335873446,,0.165697879718,0.0,0.0,,0.0,0.0,-0.203518253201
1608810911597621044,,0.142077452864,0.0,0.0,,0.0,0.0,-0.276372373302
1608810911852284786,,0.123937912731,0.0,0.0,,0.0,0.0,-0.316871162102
