rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
1608810897694639015,,52303,,1608810897,710540749,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897694651708,,52304,,1608810897,731307256,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897716418626,,52305,,1608810897,751078206,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897746697153,,52306,,1608810897,771066725,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897764720280,,52307,,1608810897,790117803,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897787587662,,52308,,1608810897,810146038,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897804644561,,52309,,1608810897,831427116,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897830440261,,52310,,1608810897,850211855,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897830464663,,52311,,1608810897,870183728,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897851813857,,52312,,1608810897,890234158,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897868855507,,52313,,1608810897,910235234,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897898256555,,52314,,1608810897,931527993,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897929434285,,52315,,1608810897,950171970,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897947893977,,52316,,1608810897,970197286,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897947920658,,52317,,1608810897,990248592,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897971139152,,52318,,1608810898,10236628,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810897997080127,,52319,,1608810898,31472365,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810898018520301,,52320,,1608810898,50292963,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810898068705502,,52321,,1608810898,70383802,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
1608810898090489602,,52322,,1608810898,90351706,'',"[wheel_left_joint, wheel_right_joint]","[637.5583602930419, 644.3695427756757]","[0.0, 0.0]","[0.0, 0.0]"
