rosbagTimestamp,data
1608810897788497657,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897788507393,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897788524079,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897788538367,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897788553132,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897788569707,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897788583793,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897788586526,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897788677320,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897788689082,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897816623348,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897816631932,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897816651428,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897816656640,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897816663680,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897816703194,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897816712204,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897816732376,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897816768744,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897816775310,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
