rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1608810897575347365,,3,,1608809852,8200216,'',2,"""/turtle3/cmd_vel_mux""","""waitForService","""/tmp/binarydeb/ros-melodic-roscpp-1.14.6/src/libros/service.cpp""","""service",123,[/rosout]
1608810897575409051,,4,,1608809852,484658,'',2,"""/turtle3/bumper2pointcloud""","""waitForService","""/tmp/binarydeb/ros-melodic-roscpp-1.14.6/src/libros/service.cpp""","""service",123,[/rosout]
1608810897575455594,,6,,1608809851,994970369,'',2,"""/turtle3/mobile_base""","""waitForService","""/tmp/binarydeb/ros-melodic-roscpp-1.14.6/src/libros/service.cpp""","""service",123,[/rosout]
1608810897592070272,,17,,1608810621,453644424,'',4,"""/turtle3/mobile_base_nodelet_manager""","""Kobuki","""/home/husarion/turtlebot_ws/src/kobuki_node/src/library/kobuki_ros.cpp""","""KobukiRos",262,"[/rosout, /tf, /diagnostics, /turtle3/joint_states, /turtle3/mobile_base/version_info,"
1608810897695170340,,18,,1608810621,576023686,'',4,"""/turtle4/mobile_base_nodelet_manager""","""Kobuki","""/home/husarion/turtlebot_ws/src/kobuki_node/src/library/kobuki_ros.cpp""","""KobukiRos",262,"[/rosout, /tf, /diagnostics, /turtle4/joint_states, /turtle4/mobile_base/version_info,"
1608810897755098950,,0,,1608808840,492028865,'',2,"""/turtle2/bumper2pointcloud""","""Loading nodelet /turtle2/bumper2pointcloud of type kobuki_bumper2pc/Bumper2PcNodelet\","""","""/tmp/binarydeb/ros-melodic-nodelet-1.9.16/src/nodelet.cpp""","""loadNodelet""",196,[/rosout]
1608810897755320668,,0,,1608808840,490118535,'',2,"""/turtle2/cmd_vel_mux""","""Loading nodelet /turtle2/cmd_vel_mux of type yocs_cmd_vel_mux/CmdVelMuxNodelet to\","""","""/tmp/binarydeb/ros-melodic-nodelet-1.9.16/src/nodelet.cpp""","""loadNodelet""",196,[/rosout]
1608810897760739441,,24,,1608810621,647387244,'',4,"""/turtle2/mobile_base_nodelet_manager""","""Kobuki","""/home/husarion/turtlebot_ws/src/kobuki_node/src/library/kobuki_ros.cpp""","""KobukiRos",262,"[/rosout, /turtle2/cmd_vel_mux/parameter_descriptions, /turtle2/cmd_vel_mux/parameter_updates,"
1608810897760819119,,4,,1608808840,559205350,'',2,"""/turtle2/mobile_base""","""/turtle2/mobile_base/odom -> /turtle2/odom""","""/tmp/binarydeb/ros-melodic-nodelet-1.9.16/src/nodelet.cpp""","""loadNodelet""",202,[/rosout]
1608810897788738838,,6,,1608808591,270203069,'',2,"""/turtle1/mobile_base""","""waitForService","""/tmp/binarydeb/ros-melodic-roscpp-1.14.6/src/libros/service.cpp""","""service",123,[/rosout]
