rosbagTimestamp,data
1608810897630842061,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897630856495,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897630946734,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897630958235,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897631022124,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897631032605,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897631086766,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897631096660,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897631151086,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897631198579,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897631207855,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897631270004,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897631316704,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897631379015,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897631435580,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897631445105,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897686631882,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897686641690,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897686646615,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897686683140,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897686699078,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897686705645,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897686735915,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897686743549,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897731372417,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897731395789,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897731441301,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897731549500,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897731659831,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897731673992,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897758562660,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897758818669,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897758858659,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897760351863,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897786899695,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897787052137,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897804369565,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897804420235,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897804431660,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897804498012,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897866785750,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897866960860,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897900086060,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897900096245,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897900174277,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897900185453,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897900322793,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897900340329,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897925997656,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897926010619,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
