rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,time_stamp,bumper,wheel_drop,cliff,left_encoder,right_encoder,left_pwm,right_pwm,buttons,charger,battery,bottom,current,over_current,digital_input,analog_input
1608810897636631624,,114881,,1608810897,533235347,'',60248,0,0,0,7402,62360,0,0,0,0,153,"[1494, 1739, 1588]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897636671518,,114882,,1608810897,553908871,'',60268,0,0,0,7402,62360,0,0,0,0,153,"[1500, 1739, 1588]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897789676458,,114883,,1608810897,572998969,'',60288,0,0,0,7402,62360,0,0,0,0,153,"[1500, 1713, 1546]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897789684899,,114884,,1608810897,591957212,'',60308,0,0,0,7402,62360,0,0,0,0,153,"[1500, 1739, 1546]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897789697731,,114885,,1608810897,613707456,'',60328,0,0,0,7402,62360,0,0,0,0,153,"[1477, 1742, 1580]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897789721682,,114886,,1608810897,633522172,'',60348,0,0,0,7402,62360,0,0,0,0,153,"[1497, 1742, 1580]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897789728875,,114887,,1608810897,656413312,'',60368,0,0,0,7402,62360,0,0,0,0,153,"[1497, 1714, 1566]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897817458195,,114888,,1608810897,675978613,'',60388,0,0,0,7402,62360,0,0,0,0,153,"[1497, 1736, 1559]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897817483115,,114889,,1608810897,694452901,'',60408,0,0,0,7402,62360,0,0,0,0,153,"[1497, 1740, 1553]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897817517034,,114890,,1608810897,714474444,'',60428,0,0,0,7402,62360,0,0,0,0,153,"[1497, 1740, 1553]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897817531270,,114891,,1608810897,734632509,'',60448,0,0,0,7402,62360,0,0,0,0,153,"[1498, 1714, 1547]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897817538462,,114892,,1608810897,754669512,'',60468,0,0,0,7402,62360,0,0,0,0,153,"[1521, 1738, 1547]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897817567679,,114893,,1608810897,775915965,'',60488,0,0,0,7402,62360,0,0,0,0,153,"[1522, 1738, 1552]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897817579366,,114894,,1608810897,794702971,'',60508,0,0,0,7402,62360,0,0,0,0,153,"[1522, 1738, 1563]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897817591067,,114895,,1608810897,815448841,'',60528,0,0,0,7402,62360,0,0,0,0,153,"[1497, 1692, 1583]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897847133552,,114896,,1608810897,837084149,'',60548,0,0,0,7402,62360,0,0,0,0,153,"[1506, 1712, 1583]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897847152353,,114897,,1608810897,854353656,'',60568,0,0,0,7402,62360,0,0,0,0,153,"[1506, 1712, 1569]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897878939296,,114898,,1608810897,874617905,'',60588,0,0,0,7402,62360,0,0,0,0,153,"[1500, 1712, 1566]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897901934488,,114899,,1608810897,895368151,'',60608,0,0,0,7402,62360,0,0,0,0,153,"[1500, 1737, 1546]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897926591358,,114900,,1608810897,917083388,'',60628,0,0,0,7402,62360,0,0,0,0,153,"[1517, 1741, 1546]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897926873282,,114901,,1608810897,936075178,'',60648,0,0,0,7402,62360,0,0,0,0,153,"[1517, 1741, 1528]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897960852848,,114902,,1608810897,955221577,'',60668,0,0,0,7402,62360,0,0,0,0,153,"[1499, 1734, 1534]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897983957018,,114903,,1608810897,977915809,'',60688,0,0,0,7402,62360,0,0,0,0,153,"[1497, 1713, 1542]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810897983965021,,114904,,1608810897,994143603,'',60708,0,0,0,7402,62360,0,0,0,0,153,"[1499, 1740, 1550]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898018404649,,114905,,1608810898,14135678,'',60728,0,0,0,7402,62360,0,0,0,0,153,"[1499, 1740, 1550]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898043511829,,114906,,1608810898,35333696,'',60748,0,0,0,7402,62360,0,0,0,0,153,"[1500, 1740, 1550]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898043526284,,114907,,1608810898,54283761,'',60768,0,0,0,7402,62360,0,0,0,0,153,"[1505, 1738, 1568]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898060909497,,114908,,1608810898,74321922,'',60788,0,0,0,7402,62360,0,0,0,0,153,"[1505, 1738, 1570]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898088892308,,114909,,1608810898,94235520,'',60808,0,0,0,7402,62360,0,0,0,0,153,"[1500, 1738, 1570]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898108783144,,114910,,1608810898,114182082,'',60828,0,0,0,7402,62360,0,0,0,0,153,"[1518, 1732, 1554]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898125846014,,114911,,1608810898,134184945,'',60848,0,0,0,7402,62360,0,0,0,0,153,"[1518, 1713, 1564]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898142225607,,114912,,1608810898,155177012,'',60868,0,0,0,7402,62360,0,0,0,0,153,"[1503, 1737, 1568]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898159420811,,114913,,1608810898,175410330,'',60888,0,0,0,7402,62360,0,0,0,0,153,"[1503, 1737, 1568]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898192786457,,114914,,1608810898,195298549,'',60908,0,0,0,7402,62360,0,0,0,0,153,"[1498, 1737, 1544]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898226353668,,114915,,1608810898,215325041,'',60928,0,0,0,7402,62360,0,0,0,0,153,"[1498, 1737, 1544]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898252534789,,114916,,1608810898,236652288,'',60948,0,0,0,7402,62360,0,0,0,0,153,"[1502, 1737, 1528]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898252576614,,114917,,1608810898,256150776,'',60968,0,0,0,7402,62360,0,0,0,0,153,"[1502, 1737, 1562]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898289593115,,114918,,1608810898,276884092,'',60988,0,0,0,7402,62360,0,0,0,0,153,"[1502, 1734, 1562]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898289648365,,114919,,1608810898,296153585,'',61008,0,0,0,7402,62360,0,0,0,0,153,"[1503, 1717, 1569]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898316519550,,114920,,1608810898,316217125,'',61028,0,0,0,7402,62360,0,0,0,0,153,"[1525, 1744, 1569]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898344047791,,114921,,1608810898,336315670,'',61048,0,0,0,7402,62360,0,0,0,0,153,"[1525, 1744, 1556]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898369884954,,114922,,1608810898,356363749,'',61068,0,0,0,7402,62360,0,0,0,0,153,"[1520, 1738, 1568]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898369905754,,114923,,1608810898,376169121,'',61088,0,0,0,7402,62360,0,0,0,0,153,"[1498, 1739, 1568]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898399656192,,114924,,1608810898,396101389,'',61108,0,0,0,7402,62360,0,0,0,0,153,"[1500, 1739, 1563]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898423241748,,114925,,1608810898,417034822,'',61128,0,0,0,7402,62360,0,0,0,0,153,"[1500, 1739, 1555]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898456569884,,114926,,1608810898,437777764,'',61148,0,0,0,7402,62360,0,0,0,0,153,"[1504, 1708, 1555]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898456670145,,114927,,1608810898,457078471,'',61168,0,0,0,7402,62360,0,0,0,0,153,"[1504, 1739, 1541]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898476541854,,114928,,1608810898,476229236,'',61188,0,0,0,7402,62360,0,0,0,0,153,"[1499, 1739, 1540]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898517122466,,114929,,1608810898,496133499,'',61208,0,0,0,7402,62360,0,0,0,0,153,"[1499, 1739, 1524]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898517188241,,114930,,1608810898,516030178,'',61228,0,0,0,7402,62360,0,0,0,0,153,"[1509, 1732, 1547]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898536610353,,114931,,1608810898,537109176,'',61248,0,0,0,7402,62360,0,0,0,0,153,"[1522, 1738, 1547]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898565230512,,114932,,1608810898,556964431,'',61268,0,0,0,7402,62360,0,0,0,0,153,"[1523, 1738, 1555]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898594760220,,114933,,1608810898,578334269,'',61288,0,0,0,7402,62360,0,0,0,0,153,"[1523, 1736, 1583]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898594783618,,114934,,1608810898,596945070,'',61308,0,0,0,7402,62360,0,0,0,0,153,"[1500, 1713, 1583]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898613608895,,114935,,1608810898,616956685,'',61328,0,0,0,7402,62360,0,0,0,0,153,"[1500, 1736, 1583]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898637506292,,114936,,1608810898,639544430,'',61348,0,0,0,7402,62360,0,0,0,0,153,"[1502, 1736, 1552]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
1608810898668113744,,114937,,1608810898,660503825,'',61368,0,0,0,7402,62360,0,0,0,0,153,"[1502, 1736, 1548]","[0, 0]",0,0,"[4095, 4095, 4095, 4095]"
