rosbagTimestamp,layout,dim,data_offset,data
1608810897861886860,,[],0,"[0, 0, 0, 0]"
1608810897862001228,,[],0,"[0, 0, 0, 0]"
1608810897883346072,,[],0,"[0, 0, 0, 0]"
1608810897903683878,,[],0,"[0, 0, 0, 0]"
1608810897925113582,,[],0,"[0, 0, 0, 0]"
1608810897946007607,,[],0,"[0, 0, 0, 0]"
1608810897964026764,,[],0,"[0, 0, 0, 0]"
1608810897997369462,,[],0,"[0, 0, 0, 0]"
1608810898034142190,,[],0,"[0, 0, 0, 0]"
1608810898034154582,,[],0,"[0, 0, 0, 0]"
1608810898057815191,,[],0,"[0, 0, 0, 0]"
1608810898075594175,,[],0,"[0, 0, 0, 0]"
1608810898075609043,,[],0,"[0, 0, 0, 0]"
1608810898095018777,,[],0,"[0, 0, 0, 0]"
1608810898120720628,,[],0,"[0, 0, 0, 0]"
1608810898141899686,,[],0,"[0, 0, 0, 0]"
1608810898162378983,,[],0,"[0, 0, 0, 0]"
1608810898189127372,,[],0,"[0, 0, 0, 0]"
1608810898212031409,,[],0,"[0, 0, 0, 0]"
1608810898236405617,,[],0,"[0, 0, 0, 0]"
1608810898236469197,,[],0,"[0, 0, 0, 0]"
1608810898281554336,,[],0,"[0, 0, 0, 0]"
1608810898306001858,,[],0,"[0, 0, 0, 0]"
1608810898306047358,,[],0,"[0, 0, 0, 0]"
1608810898331404236,,[],0,"[0, 0, 0, 0]"
1608810898355433484,,[],0,"[0, 0, 0, 0]"
1608810898387279179,,[],0,"[0, 0, 0, 0]"
1608810898387378465,,[],0,"[0, 0, 0, 0]"
1608810898415465502,,[],0,"[0, 0, 0, 0]"
1608810898459292558,,[],0,"[0, 0, 0, 0]"
1608810898459307052,,[],0,"[0, 0, 0, 0]"
1608810898476763020,,[],0,"[0, 0, 0, 0]"
1608810898476781741,,[],0,"[0, 0, 0, 0]"
1608810898500442574,,[],0,"[0, 0, 0, 0]"
1608810898526749589,,[],0,"[0, 0, 0, 0]"
1608810898544713649,,[],0,"[0, 0, 0, 0]"
1608810898579072168,,[],0,"[0, 0, 0, 0]"
1608810898605013408,,[],0,"[0, 0, 0, 0]"
1608810898605064092,,[],0,"[0, 0, 0, 0]"
1608810898630713040,,[],0,"[0, 0, 0, 0]"
1608810898644767497,,[],0,"[0, 0, 0, 0]"
1608810898661710027,,[],0,"[0, 0, 0, 0]"
1608810898683531405,,[],0,"[0, 0, 0, 0]"
1608810898719767643,,[],0,"[0, 0, 0, 0]"
1608810898745951722,,[],0,"[0, 0, 0, 0]"
1608810898745990935,,[],0,"[0, 0, 0, 0]"
1608810898761903031,,[],0,"[0, 0, 0, 0]"
1608810898776590735,,[],0,"[0, 0, 0, 0]"
1608810898793992997,,[],0,"[0, 0, 0, 0]"
1608810898809905294,,[],0,"[0, 0, 0, 0]"
1608810898829569235,,[],0,"[0, 0, 0, 0]"
1608810898846680359,,[],0,"[0, 0, 0, 0]"
1608810898868584783,,[],0,"[0, 0, 0, 0]"
1608810898889626827,,[],0,"[0, 0, 0, 0]"
1608810898919259239,,[],0,"[0, 0, 0, 0]"
1608810898954070635,,[],0,"[0, 0, 0, 0]"
1608810898954132004,,[],0,"[0, 0, 0, 0]"
1608810898972219386,,[],0,"[0, 0, 0, 0]"
1608810898992735539,,[],0,"[0, 0, 0, 0]"
1608810899016898845,,[],0,"[0, 0, 0, 0]"
1608810899048332768,,[],0,"[0, 0, 0, 0]"
1608810899071949584,,[],0,"[0, 0, 0, 0]"
1608810899099952609,,[],0,"[0, 0, 0, 0]"
1608810899100015582,,[],0,"[0, 0, 0, 0]"
1608810899129100413,,[],0,"[0, 0, 0, 0]"
1608810899154797098,,[],0,"[0, 0, 0, 0]"
1608810899154917281,,[],0,"[0, 0, 0, 0]"
1608810899186547405,,[],0,"[0, 0, 0, 0]"
1608810899212506347,,[],0,"[0, 0, 0, 0]"
1608810899248379257,,[],0,"[0, 0, 0, 0]"
1608810899248429854,,[],0,"[0, 0, 0, 0]"
1608810899268759212,,[],0,"[0, 0, 0, 0]"
1608810899286282484,,[],0,"[0, 0, 0, 0]"
1608810899303179134,,[],0,"[0, 0, 0, 0]"
1608810899332514652,,[],0,"[0, 0, 0, 0]"
1608810899349853171,,[],0,"[0, 0, 0, 0]"
1608810899361017845,,[],0,"[0, 0, 0, 0]"
1608810899385831391,,[],0,"[0, 0, 0, 0]"
1608810899412071510,,[],0,"[0, 0, 0, 0]"
1608810899436538521,,[],0,"[0, 0, 0, 0]"
1608810899466009231,,[],0,"[0, 0, 0, 0]"
1608810899466031641,,[],0,"[0, 0, 0, 0]"
1608810899484013359,,[],0,"[0, 0, 0, 0]"
1608810899511877343,,[],0,"[0, 0, 0, 0]"
1608810899525055098,,[],0,"[0, 0, 0, 0]"
1608810899549828625,,[],0,"[0, 0, 0, 0]"
1608810899567237977,,[],0,"[0, 0, 0, 0]"
1608810899589847757,,[],0,"[0, 0, 0, 0]"
1608810899589854628,,[],0,"[0, 0, 0, 0]"
1608810899618047861,,[],0,"[0, 0, 0, 0]"
1608810899633885719,,[],0,"[0, 0, 0, 0]"
1608810899650702403,,[],0,"[0, 0, 0, 0]"
1608810899666520780,,[],0,"[0, 0, 0, 0]"
1608810899687250636,,[],0,"[0, 0, 0, 0]"
1608810899705997256,,[],0,"[0, 0, 0, 0]"
1608810899724923342,,[],0,"[0, 0, 0, 0]"
1608810899759565010,,[],0,"[0, 0, 0, 0]"
1608810899778743467,,[],0,"[0, 0, 0, 0]"
1608810899806585091,,[],0,"[0, 0, 0, 0]"
1608810899836627743,,[],0,"[0, 0, 0, 0]"
1608810899857184744,,[],0,"[0, 0, 0, 0]"
1608810899857191267,,[],0,"[0, 0, 0, 0]"
1608810899877070906,,[],0,"[0, 0, 0, 0]"
1608810899904694024,,[],0,"[0, 0, 0, 0]"
1608810899927373828,,[],0,"[0, 0, 0, 0]"
1608810899940513234,,[],0,"[0, 0, 0, 0]"
1608810899967204221,,[],0,"[0, 0, 0, 0]"
1608810899967320401,,[],0,"[0, 0, 0, 0]"
1608810899992570902,,[],0,"[0, 0, 0, 0]"
1608810900022052087,,[],0,"[0, 0, 0, 0]"
1608810900048099495,,[],0,"[0, 0, 0, 0]"
1608810900072246162,,[],0,"[0, 0, 0, 0]"
1608810900072265938,,[],0,"[0, 0, 0, 0]"
1608810900089867144,,[],0,"[0, 0, 0, 0]"
1608810900104004966,,[],0,"[0, 0, 0, 0]"
1608810900128596400,,[],0,"[0, 0, 0, 0]"
1608810900150505445,,[],0,"[0, 0, 0, 0]"
1608810900171760097,,[],0,"[0, 0, 0, 0]"
1608810900198489615,,[],0,"[0, 0, 0, 0]"
1608810900226183517,,[],0,"[0, 0, 0, 0]"
1608810900248846044,,[],0,"[0, 0, 0, 0]"
1608810900292300102,,[],0,"[0, 0, 0, 0]"
1608810900292320832,,[],0,"[0, 0, 0, 0]"
1608810900320617986,,[],0,"[0, 0, 0, 0]"
1608810900320750787,,[],0,"[0, 0, 0, 0]"
1608810900339511569,,[],0,"[0, 0, 0, 0]"
1608810900364243874,,[],0,"[0, 0, 0, 0]"
1608810900388883237,,[],0,"[0, 0, 0, 0]"
1608810900407690791,,[],0,"[0, 0, 0, 0]"
1608810900434230240,,[],0,"[0, 0, 0, 0]"
1608810900434257571,,[],0,"[0, 0, 0, 0]"
1608810900472047538,,[],0,"[0, 0, 0, 0]"
1608810900492163860,,[],0,"[0, 0, 0, 0]"
1608810900492187796,,[],0,"[0, 0, 0, 0]"
1608810900513544282,,[],0,"[0, 0, 0, 0]"
1608810900527145035,,[],0,"[0, 0, 0, 0]"
1608810900555084220,,[],0,"[0, 0, 0, 0]"
1608810900573648036,,[],0,"[0, 0, 0, 0]"
1608810900601435500,,[],0,"[0, 0, 0, 0]"
1608810900623441238,,[],0,"[0, 0, 0, 0]"
1608810900646188548,,[],0,"[0, 0, 0, 0]"
1608810900673087898,,[],0,"[0, 0, 0, 0]"
1608810900701343339,,[],0,"[0, 0, 0, 0]"
1608810900701451204,,[],0,"[0, 0, 0, 0]"
1608810900720290343,,[],0,"[0, 0, 0, 0]"
1608810900750201790,,[],0,"[0, 0, 0, 0]"
1608810900764508801,,[],0,"[0, 0, 0, 0]"
1608810900764579137,,[],0,"[0, 0, 0, 0]"
1608810900790338853,,[],0,"[0, 0, 0, 0]"
1608810900861202070,,[],0,"[0, 0, 0, 0]"
1608810900917271505,,[],0,"[0, 0, 0, 0]"
1608810900917300575,,[],0,"[0, 0, 0, 0]"
1608810900917314788,,[],0,"[0, 0, 0, 0]"
1608810900957340015,,[],0,"[0, 0, 0, 0]"
1608810900957357582,,[],0,"[0, 0, 0, 0]"
1608810900957445881,,[],0,"[0, 0, 0, 0]"
1608810901026932286,,[],0,"[0, 0, 0, 0]"
1608810901026955414,,[],0,"[0, 0, 0, 0]"
1608810901064268522,,[],0,"[202, 10351, 199, 19]"
1608810901064284262,,[],0,"[202, 10351, 199, 19]"
1608810901064348757,,[],0,"[202, 10351, 199, 19]"
1608810901164236732,,[],0,"[202, 10351, 199, 19]"
1608810901164284789,,[],0,"[202, 10351, 199, 19]"
1608810901190670949,,[],0,"[202, 10351, 199, 19]"
1608810901190683834,,[],0,"[202, 10351, 199, 19]"
1608810901190691131,,[],0,"[202, 10351, 199, 19]"
1608810901190698431,,[],0,"[202, 10351, 199, 19]"
1608810901190748071,,[],0,"[202, 10351, 199, 19]"
1608810901223827280,,[],0,"[202, 10351, 199, 19]"
1608810901223918569,,[],0,"[202, 10351, 199, 19]"
1608810901246023232,,[],0,"[202, 10351, 199, 19]"
1608810901267510781,,[],0,"[203, 6867, 199, 29]"
1608810901291071307,,[],0,"[203, 6867, 199, 29]"
1608810901291148952,,[],0,"[203, 6867, 199, 29]"
1608810901336701055,,[],0,"[203, 6867, 199, 29]"
1608810901336713873,,[],0,"[203, 6867, 199, 29]"
1608810901364284226,,[],0,"[203, 6867, 199, 29]"
1608810901391841079,,[],0,"[203, 6867, 199, 29]"
1608810901418681207,,[],0,"[203, 6867, 199, 29]"
1608810901418709922,,[],0,"[203, 6867, 199, 29]"
1608810901453901100,,[],0,"[203, 6867, 199, 29]"
1608810901518493558,,[],0,"[203, 6867, 199, 29]"
1608810901518526585,,[],0,"[203, 6867, 199, 29]"
1608810901538822209,,[],0,"[203, 6867, 199, 29]"
1608810901538830615,,[],0,"[203, 6867, 199, 29]"
