rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
1608810898060722695,,102780,,1608810898,46434313,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898082654761,,102781,,1608810898,65718115,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898109393490,,102782,,1608810898,86236409,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898129389326,,102783,,1608810898,105696067,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898152798127,,102784,,1608810898,125668712,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898174956010,,102785,,1608810898,145672270,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898199037568,,102786,,1608810898,164703516,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898225023239,,102787,,1608810898,184777066,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898251444498,,102788,,1608810898,204971937,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898251475696,,102789,,1608810898,225713041,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898284113013,,102790,,1608810898,245655647,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898309550134,,102791,,1608810898,265602628,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898309582364,,102792,,1608810898,285570898,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898341341274,,102793,,1608810898,305562499,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898360667162,,102794,,1608810898,325685336,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898360761490,,102795,,1608810898,345552700,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
