rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data
1608810897477913654,,0,,1608810897,471601949,"""dock_ir_link""","[0, 0, 0]"
1608810897477935222,,1,,1608810897,490855993,"""dock_ir_link""","[0, 0, 0]"
1608810897554378025,,2,,1608810897,510855901,"""dock_ir_link""","[0, 0, 0]"
1608810897554396648,,3,,1608810897,531896631,"""dock_ir_link""","[0, 0, 0]"
1608810897554412894,,4,,1608810897,551291729,"""dock_ir_link""","[0, 0, 0]"
1608810897554438257,,5,,1608810897,571572285,"""dock_ir_link""","[0, 0, 0]"
1608810897574585994,,6,,1608810897,593473943,"""dock_ir_link""","[0, 0, 0]"
1608810897574623995,,7,,1608810897,609552661,"""dock_ir_link""","[0, 0, 0]"
1608810897592158182,,8,,1608810897,630678082,"""dock_ir_link""","[0, 0, 0]"
1608810897654376687,,9,,1608810897,650571397,"""dock_ir_link""","[0, 0, 0]"
1608810897685425969,,10,,1608810897,673760356,"""dock_ir_link""","[0, 0, 0]"
1608810897685450179,,11,,1608810897,690650647,"""dock_ir_link""","[0, 0, 0]"
1608810897685578275,,12,,1608810897,710847389,"""dock_ir_link""","[0, 0, 0]"
1608810897706351954,,13,,1608810897,731622657,"""dock_ir_link""","[0, 0, 0]"
1608810897729615789,,14,,1608810897,751387182,"""dock_ir_link""","[0, 0, 0]"
1608810897747216042,,15,,1608810897,771898156,"""dock_ir_link""","[0, 0, 0]"
1608810897747329110,,16,,1608810897,790507965,"""dock_ir_link""","[0, 0, 0]"
1608810897765144538,,17,,1608810897,810374120,"""dock_ir_link""","[0, 0, 0]"
1608810897790001434,,18,,1608810897,831650525,"""dock_ir_link""","[0, 0, 0]"
1608810897804840715,,19,,1608810897,850620124,"""dock_ir_link""","[0, 0, 0]"
1608810897830787736,,20,,1608810897,870464084,"""dock_ir_link""","[0, 0, 0]"
1608810897852719356,,21,,1608810897,890520063,"""dock_ir_link""","[0, 0, 0]"
1608810897869363453,,22,,1608810897,910536909,"""dock_ir_link""","[0, 0, 0]"
1608810897898540149,,23,,1608810897,931817987,"""dock_ir_link""","[0, 0, 0]"
1608810897932233845,,24,,1608810897,950455539,"""dock_ir_link""","[0, 0, 0]"
1608810897932285296,,25,,1608810897,970536634,"""dock_ir_link""","[0, 0, 0]"
1608810897950007329,,26,,1608810897,990532745,"""dock_ir_link""","[0, 0, 0]"
1608810897971343881,,27,,1608810898,10514012,"""dock_ir_link""","[0, 0, 0]"
1608810897997232152,,28,,1608810898,31747438,"""dock_ir_link""","[0, 0, 0]"
1608810898068167062,,29,,1608810898,50573292,"""dock_ir_link""","[0, 0, 0]"
1608810898089521865,,30,,1608810898,70798164,"""dock_ir_link""","[0, 0, 0]"
1608810898089539925,,31,,1608810898,90634955,"""dock_ir_link""","[0, 0, 0]"
1608810898089696571,,32,,1608810898,110689878,"""dock_ir_link""","[0, 0, 0]"
1608810898113232822,,33,,1608810898,135801529,"""dock_ir_link""","[0, 0, 0]"
1608810898113305689,,34,,1608810898,151704076,"""dock_ir_link""","[0, 0, 0]"
1608810898141156044,,35,,1608810898,171762502,"""dock_ir_link""","[0, 0, 0]"
1608810898158687712,,36,,1608810898,194400249,"""dock_ir_link""","[0, 0, 0]"
1608810898179837647,,37,,1608810898,210770887,"""dock_ir_link""","[0, 0, 0]"
1608810898211492343,,38,,1608810898,231311129,"""dock_ir_link""","[0, 0, 0]"
1608810898235453142,,39,,1608810898,250802473,"""dock_ir_link""","[0, 0, 0]"
1608810898235495835,,40,,1608810898,269825142,"""dock_ir_link""","[0, 0, 0]"
1608810898274013087,,41,,1608810898,290936263,"""dock_ir_link""","[0, 0, 0]"
1608810898305370801,,42,,1608810898,312145499,"""dock_ir_link""","[0, 0, 0]"
1608810898305396997,,43,,1608810898,332228454,"""dock_ir_link""","[0, 0, 0]"
1608810898330607049,,44,,1608810898,351943769,"""dock_ir_link""","[0, 0, 0]"
