rosbagTimestamp,layout,dim,data_offset,data
1608810897591957518,,[],0,"[0, 0, 0, 0]"
1608810897591983089,,[],0,"[0, 0, 0, 0]"
1608810897654152530,,[],0,"[0, 0, 0, 0]"
1608810897685097233,,[],0,"[0, 0, 0, 0]"
1608810897685116803,,[],0,"[0, 0, 0, 0]"
1608810897685393723,,[],0,"[0, 0, 0, 0]"
1608810897706222802,,[],0,"[0, 0, 0, 0]"
1608810897729582246,,[],0,"[0, 0, 0, 0]"
1608810897747079108,,[],0,"[0, 0, 0, 0]"
1608810897765011667,,[],0,"[0, 0, 0, 0]"
1608810897787717064,,[],0,"[0, 0, 0, 0]"
1608810897804716782,,[],0,"[0, 0, 0, 0]"
1608810897830573829,,[],0,"[0, 0, 0, 0]"
1608810897830623441,,[],0,"[0, 0, 0, 0]"
1608810897852300724,,[],0,"[0, 0, 0, 0]"
1608810897869249099,,[],0,"[0, 0, 0, 0]"
1608810897898712443,,[],0,"[0, 0, 0, 0]"
1608810897932205636,,[],0,"[0, 0, 0, 0]"
1608810897932212430,,[],0,"[0, 0, 0, 0]"
1608810897948073338,,[],0,"[0, 0, 0, 0]"
1608810897971284881,,[],0,"[0, 0, 0, 0]"
1608810897997193050,,[],0,"[0, 0, 0, 0]"
1608810898021253046,,[],0,"[0, 0, 0, 0]"
1608810898068845625,,[],0,"[0, 0, 0, 0]"
1608810898091074153,,[],0,"[0, 0, 0, 0]"
1608810898091180034,,[],0,"[0, 0, 0, 0]"
1608810898121602820,,[],0,"[0, 0, 0, 0]"
1608810898121619622,,[],0,"[0, 0, 0, 0]"
1608810898158592944,,[],0,"[0, 0, 0, 0]"
1608810898179660693,,[],0,"[0, 0, 0, 0]"
1608810898179686515,,[],0,"[0, 0, 0, 0]"
1608810898211392910,,[],0,"[0, 0, 0, 0]"
1608810898235097253,,[],0,"[0, 0, 0, 0]"
1608810898235173340,,[],0,"[0, 0, 0, 0]"
1608810898273924609,,[],0,"[0, 0, 0, 0]"
1608810898305208835,,[],0,"[0, 0, 0, 0]"
1608810898305295633,,[],0,"[0, 0, 0, 0]"
1608810898330426763,,[],0,"[0, 0, 0, 0]"
1608810898330483572,,[],0,"[0, 0, 0, 0]"
1608810898358709526,,[],0,"[0, 0, 0, 0]"
1608810898386660204,,[],0,"[0, 0, 0, 0]"
1608810898411440294,,[],0,"[0, 0, 0, 0]"
1608810898437937340,,[],0,"[0, 0, 0, 0]"
1608810898437975012,,[],0,"[0, 0, 0, 0]"
1608810898459143017,,[],0,"[0, 0, 0, 0]"
1608810898476396140,,[],0,"[0, 0, 0, 0]"
1608810898498568756,,[],0,"[0, 0, 0, 0]"
1608810898553888538,,[],0,"[0, 0, 0, 0]"
1608810898553911642,,[],0,"[0, 0, 0, 0]"
1608810898581002547,,[],0,"[0, 0, 0, 0]"
