rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data
1608810897754982591,,0,,1608810897,686287101,"""dock_ir_link""","[0, 0, 0]"
1608810897755084557,,1,,1608810897,705997551,"""dock_ir_link""","[0, 0, 0]"
1608810897755103642,,2,,1608810897,725961431,"""dock_ir_link""","[0, 0, 0]"
1608810897776176093,,3,,1608810897,747089519,"""dock_ir_link""","[0, 0, 0]"
1608810897804088432,,4,,1608810897,766098294,"""dock_ir_link""","[0, 0, 0]"
1608810897864746665,,5,,1608810897,786053718,"""dock_ir_link""","[0, 0, 0]"
1608810897864765552,,6,,1608810897,806080300,"""dock_ir_link""","[0, 0, 0]"
1608810897898934583,,7,,1608810897,824961631,"""dock_ir_link""","[0, 0, 0]"
1608810897898994163,,8,,1608810897,846026725,"""dock_ir_link""","[0, 0, 0]"
1608810897899087599,,9,,1608810897,866002854,"""dock_ir_link""","[0, 0, 0]"
1608810897925547088,,10,,1608810897,886021854,"""dock_ir_link""","[0, 0, 0]"
1608810897925553345,,11,,1608810897,906033563,"""dock_ir_link""","[0, 0, 0]"
1608810897950312826,,12,,1608810897,926021066,"""dock_ir_link""","[0, 0, 0]"
1608810897971626245,,13,,1608810897,946012943,"""dock_ir_link""","[0, 0, 0]"
1608810897987073008,,14,,1608810897,966065481,"""dock_ir_link""","[0, 0, 0]"
1608810898018358374,,15,,1608810897,986009530,"""dock_ir_link""","[0, 0, 0]"
1608810898043369464,,16,,1608810898,6047486,"""dock_ir_link""","[0, 0, 0]"
1608810898060493315,,17,,1608810898,26003800,"""dock_ir_link""","[0, 0, 0]"
1608810898069548601,,18,,1608810898,46741988,"""dock_ir_link""","[0, 0, 0]"
1608810898109146006,,19,,1608810898,66196396,"""dock_ir_link""","[0, 0, 0]"
1608810898128830099,,20,,1608810898,86782350,"""dock_ir_link""","[0, 0, 0]"
1608810898128860257,,21,,1608810898,106001701,"""dock_ir_link""","[0, 0, 0]"
