rosbagTimestamp,data
1608810897552795134,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897552839842,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897574299210,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897574382074,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897592757446,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897592793021,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897592824378,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897645851992,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897645862759,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897645868516,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897645937376,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897645948438,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897668120445,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897668132186,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897695034993,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897695077369,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897695101800,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897695124934,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897719923408,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897719955511,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897749469235,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897749587715,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897787388971,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897787401104,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897816037150,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897816048576,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897816057867,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897816069838,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897840165977,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897840179862,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897858099125,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897858211157,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897858228489,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897858243137,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897882885293,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897882901972,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897903367698,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897903426367,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897920164838,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897920174344,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897936013411,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897936034131,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897963394324,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897963530055,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810897997323260,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810897997353228,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898034637721,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898034662649,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898034737975,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898034807805,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898059906707,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898059954229,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898059999216,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898060033393,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898075981729,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898076018006,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
