rosbagTimestamp,layout,dim,data_offset,data
1608810897998896805,,[],0,"[0, 0, 0, 0]"
1608810898026952117,,[],0,"[0, 0, 0, 0]"
1608810898027016538,,[],0,"[0, 0, 0, 0]"
1608810898043594215,,[],0,"[0, 0, 0, 0]"
1608810898060932164,,[],0,"[0, 0, 0, 0]"
1608810898089382311,,[],0,"[0, 0, 0, 0]"
1608810898109145412,,[],0,"[0, 0, 0, 0]"
1608810898126182557,,[],0,"[0, 0, 0, 0]"
1608810898142503748,,[],0,"[0, 0, 0, 0]"
1608810898159545668,,[],0,"[0, 0, 0, 0]"
1608810898192731715,,[],0,"[0, 0, 0, 0]"
1608810898226164890,,[],0,"[0, 0, 0, 0]"
1608810898252115328,,[],0,"[0, 0, 0, 0]"
1608810898252130880,,[],0,"[0, 0, 0, 0]"
1608810898281067954,,[],0,"[0, 0, 0, 0]"
1608810898306972151,,[],0,"[0, 0, 0, 0]"
1608810898307000302,,[],0,"[0, 0, 0, 0]"
1608810898324169229,,[],0,"[0, 0, 0, 0]"
1608810898347653095,,[],0,"[0, 0, 0, 0]"
1608810898370068819,,[],0,"[0, 0, 0, 0]"
1608810898399788419,,[],0,"[0, 0, 0, 0]"
1608810898423352266,,[],0,"[0, 0, 0, 0]"
1608810898456857377,,[],0,"[0, 0, 0, 0]"
1608810898456892780,,[],0,"[0, 0, 0, 0]"
1608810898476625676,,[],0,"[0, 0, 0, 0]"
1608810898517341860,,[],0,"[0, 0, 0, 0]"
1608810898517391236,,[],0,"[0, 0, 0, 0]"
1608810898536740019,,[],0,"[0, 0, 0, 0]"
1608810898565346968,,[],0,"[0, 0, 0, 0]"
1608810898594931931,,[],0,"[0, 0, 0, 0]"
1608810898594945330,,[],0,"[0, 0, 0, 0]"
1608810898613891751,,[],0,"[0, 0, 0, 0]"
1608810898637693809,,[],0,"[0, 0, 0, 0]"
1608810898668471272,,[],0,"[0, 0, 0, 0]"
1608810898690054615,,[],0,"[0, 0, 0, 0]"
1608810898690314635,,[],0,"[0, 0, 0, 0]"
1608810898738342778,,[],0,"[0, 0, 0, 0]"
1608810898738363867,,[],0,"[0, 0, 0, 0]"
1608810898761591316,,[],0,"[0, 0, 0, 0]"
1608810898782214303,,[],0,"[0, 0, 0, 0]"
1608810898822769096,,[],0,"[0, 0, 0, 0]"
1608810898851117137,,[],0,"[0, 0, 0, 0]"
1608810898851178945,,[],0,"[0, 0, 0, 0]"
1608810898873166327,,[],0,"[0, 0, 0, 0]"
1608810898873202639,,[],0,"[0, 0, 0, 0]"
1608810898888610833,,[],0,"[0, 0, 0, 0]"
1608810898927974437,,[],0,"[0, 0, 0, 0]"
1608810898959805423,,[],0,"[0, 0, 0, 0]"
1608810898960013120,,[],0,"[0, 0, 0, 0]"
1608810898983495597,,[],0,"[0, 0, 0, 0]"
1608810899003123604,,[],0,"[0, 0, 0, 0]"
1608810899017449797,,[],0,"[0, 0, 0, 0]"
1608810899050645172,,[],0,"[0, 0, 0, 0]"
1608810899071238072,,[],0,"[0, 0, 0, 0]"
1608810899071278420,,[],0,"[0, 0, 0, 0]"
1608810899101688762,,[],0,"[0, 0, 0, 0]"
1608810899122691123,,[],0,"[0, 0, 0, 0]"
1608810899146784802,,[],0,"[0, 0, 0, 0]"
1608810899146936826,,[],0,"[0, 0, 0, 0]"
1608810899171876936,,[],0,"[0, 0, 0, 0]"
1608810899187833439,,[],0,"[0, 0, 0, 0]"
1608810899211417518,,[],0,"[0, 0, 0, 0]"
1608810899229964352,,[],0,"[0, 0, 0, 0]"
1608810899249241512,,[],0,"[0, 0, 0, 0]"
1608810899278596665,,[],0,"[0, 0, 0, 0]"
1608810899302220030,,[],0,"[0, 0, 0, 0]"
1608810899379653491,,[],0,"[0, 0, 0, 0]"
1608810899379731480,,[],0,"[0, 0, 0, 0]"
