rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1608810897465887340,,17629,,1608810897,465381618,"""world""",,,1.21663308144,2.8305182457,0.448766052723,,0.00135329726618,-0.00177217600867,-0.0121234646067,0.999924063683
1608810897465913531,,17632,,1608810897,465467742,"""world""",,,1.21664023399,2.83052396774,0.448755979538,,0.0013194270432,-0.00172298401594,-0.0121384710073,0.999923944473
1608810897465949510,,17633,,1608810897,465519177,"""world""",,,1.21660518646,2.83044195175,0.448817998171,,0.000988978543319,-0.00154800433666,-0.0121334223077,0.999924778938
1608810897616354729,,17634,,1608810897,615352005,"""world""",,,1.21663808823,2.83052563667,0.448755979538,,0.00125134061091,-0.00178337574471,-0.012044550851,0.999925076962
1608810897616413823,,17638,,1608810897,615543815,"""world""",,,1.21663868427,2.83052110672,0.448759108782,,0.00131534715183,-0.00186180218589,-0.0120890894905,0.999924361706
1608810897675584256,,17639,,1608810897,675279783,"""world""",,,1.21663308144,2.83051729202,0.448764950037,,0.00132729904726,-0.00181608961429,-0.0121121220291,0.999924182892
1608810897675590481,,17640,,1608810897,675308426,"""world""",,,1.21663486958,2.8305182457,0.448756247759,,0.00131723971572,-0.00177699082997,-0.0121234524995,0.999924123287
1608810897675673104,,17641,,1608810897,675356641,"""world""",,,1.21664392948,2.83052229881,0.448762327433,,0.0013158848742,-0.00177355704363,-0.0120966415852,0.99992442131
1608810897675693450,,17644,,1608810897,675424345,"""world""",,,1.21663463116,2.83052682877,0.448765665293,,0.00131751911249,-0.00176290678792,-0.0121259381995,0.999924123287
1608810897696978800,,17645,,1608810897,695339298,"""world""",,,1.21664333344,2.83052968979,0.44875857234,,0.00123394501861,-0.00179300212767,-0.0121556185186,0.999923765659
1608810897697021173,,17649,,1608810897,695403231,"""world""",,,1.21663963795,2.83052706718,0.448748767376,,0.00133183982689,-0.00177308404818,-0.0121393250301,0.999923884869
1608810897697035158,,17650,,1608810897,695439938,"""world""",,,1.2166339159,2.83053445816,0.448752909899,,0.00126669788733,-0.00178210309241,-0.0121071273461,0.999924361706
1608810897697050589,,17657,,1608810897,695537681,"""world""",,,1.21663033962,2.83052682877,0.448756784201,,0.00129905703943,-0.00184163299855,-0.0120953889564,0.999924302101
1608810897697056963,,17658,,1608810897,695579668,"""world""",,,1.21663570404,2.83052396774,0.448751211166,,0.00129890523385,-0.00178252917249,-0.0120930457488,0.99992442131
1608810897697089336,,17663,,1608810897,695692485,"""world""",,,1.21664512157,2.83052325249,0.448753446341,,0.0012440335704,-0.00177073280793,-0.0121098831296,0.999924361706
1608810897697117723,,17664,,1608810897,695742702,"""world""",,,1.21663212776,2.83052110672,0.4487606287,,0.00124173052609,-0.00175153021701,-0.012137953192,0.999924063683
1608810897697125455,,17669,,1608810897,695830921,"""world""",,,1.2166454792,2.83052706718,0.448768556118,,0.00126981420908,-0.00173810275737,-0.0120917949826,0.999924600124
1608810897697141349,,17670,,1608810897,695873617,"""world""",,,1.21663951874,2.83052659035,0.448761194944,,0.00128712283913,-0.00170007755514,-0.0121324583888,0.999924182892
1608810897697150656,,17673,,1608810897,695930455,"""world""",,,1.21661913395,2.83045315742,0.448816120625,,0.000928805442527,-0.00226019695401,-0.0124850599095,0.999919116497
1608810897697162067,,17674,,1608810897,695975411,"""world""",,,1.21663486958,2.8305170536,0.448767453432,,0.00131072301883,-0.00176208431367,-0.0121339680627,0.999923944473
1608810897705553064,,17675,,1608810897,705317180,"""world""",,,1.21659064293,2.83036971092,0.448870837688,,0.000593557138927,-0.00198519718833,-0.0125138815492,0.999919652939
1608810897715944981,,17676,,1608810897,715346836,"""world""",,,1.21664237976,2.8305170536,0.448766350746,,0.00131477275863,-0.00173151819035,-0.0121030015871,0.999924480915
1608810897715995789,,17677,,1608810897,715373892,"""world""",,,1.21661651134,2.83044290543,0.448809027672,,0.00100014277268,-0.00147507281508,-0.0120444651693,0.999925911427
1608810897736136540,,17678,,1608810897,735411882,"""world""",,,1.21661329269,2.83044457436,0.448816359043,,0.00103020702954,-0.00146291952115,-0.0121027622372,0.999925196171
1608810897736199018,,17679,,1608810897,735470287,"""world""",,,1.21661293507,2.83045101166,0.448816418648,,0.00100065697916,-0.00226332247257,-0.0124766174704,0.999919116497
1608810897746366854,,17680,,1608810897,745437499,"""world""",,,1.21658289433,2.83036518097,0.448869258165,,0.000716894632205,-0.00199614744633,-0.0125059168786,0.99991953373
1608810897755821568,,17681,,1608810897,755375591,"""world""",,,1.21658098698,2.8303604126,0.448870629072,,0.000582206645049,-0.0020115270745,-0.0124991163611,0.999919712543
1608810897766345982,,17682,,1608810897,765308004,"""world""",,,1.21661925316,2.8304438591,0.448813140392,,0.000906853470951,-0.00222580390982,-0.012520247139,0.999918818474
1608810897775695728,,17683,,1608810897,775311312,"""world""",,,1.21658992767,2.8303592205,0.448866099119,,0.000676497875247,-0.00201070401818,-0.0124732935801,0.999919950962
1608810897775708703,,17684,,1608810897,775394470,"""world""",,,1.21659553051,2.83036446571,0.448876410723,,0.000586751266383,-0.00197556288913,-0.0125146061182,0.999919652939
1608810897795605260,,17685,,1608810897,795329430,"""world""",,,1.21659243107,2.83036327362,0.448872506618,,0.000627482309937,-0.00195061648265,-0.012522270903,0.999919593334
1608810897795635182,,17686,,1608810897,795352511,"""world""",,,1.21658933163,2.8303565979,0.44886803627,,0.000652602466289,-0.00193789333571,-0.0124934306368,0.999919891357
