rosbagTimestamp,data
1608810898274113513,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898305458960,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898305608781,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898305623437,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898305690972,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898330855932,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898330953438,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898330988584,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898331068420,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898358914017,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898358972682,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898386872106,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898386933460,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898411580499,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898411628074,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898438264906,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898438353468,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898438365163,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898438422508,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898460419484,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898460516343,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898497121332,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898497138279,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898497237387,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898497322510,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898546979759,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898547015191,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898580243449,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898580265133,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898580286854,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898580359464,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898580376850,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898580476730,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898606186005,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898606254402,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898643779553,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898643834105,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
